,Agent,Dateofbirth,Latesttransfer,CIESvalue,TMvalue,Totaltransfers,Timeinyouthteam,Goalkicks,Dominantfoot,Position,Maincompetition,Salary,Startofcontract,Contractexpiration,Previousclub,Releaseclause,Saves,Dribble,Defender,Transfers,Offthebench,Altura,Ageinlastgame,Previouscompetition,Currentclub,Ageondebut,Countryofbirth,ELO,Market value,Othershirtnumbers,Tempo,Placeofbirth,Timescalledup,Nacionalidad(es),Physical,Pass,Placement,Mostcommonshirtnumber,Matchesasastarter,Shot,Stretch,Debut,Reflexes,Liga,Lastmatch,Marketvalue,Jump,Provider,Latestrenewal,Potential,Regionofbirth,Edad,Continentofbirth
Gaëtan Laborde,CHConseiletManagement,03May1994,,15M€,14M€,,"StadeMontois(2000–2008),GirondinsBordeaux(2008–2011)",,Left,STR(Striker),Ligue1,1.8M€annual,31-08-2021,30-06-2026,StadeRennais,,,76,40,transfer,,181,,Ligue1,Nice,,France,83,21,"10,11,15,18,9,14,7",76,Mont-de-Marsan,,France,80,73,,24,,71,,,,Ligue_1,,21M€,,Nike,,86,EuropaOccidental,28,Europe
N. Pépé,,29May1995,,,,,"FCSolitairesParisEst(2001-2011),StadePoitevinFC(2011-2013)",,Left,STR(Striker),Ligue1,,,,Arsenal,,,86,42,,8,175,27years,PremierLeague,Nice,21years,France,77,26.1,"29,10,33,7,9,17,11,2",89,Lons-le-Saunier,47,IvoryCoast,76,74,,19,29,77,,12/11/2016,,Ligue_1,19/11/2022,,,,,83,EuropaOccidental,27,Europe
T. Moffi,,25May1999,,,,,BuckswoodFootballAcademy,,Left,STR(Striker),Ligue1,,,,Lorient,,,67,31,,4,188,23years,Ligue1,Nice,22years,Nigeria,76,21.8,"20,7,18,9,14",75,Calabar,9,Nigeria,70,45,,13,5,52,,04/06/2021,,Ligue_1,17/11/2022,,,,,81,AfricaOccidental,23,Africa
Sofiane Diop,Classico,09June2000,,30M€,18M€,,"FCTours(2006-2014),USChambray-Lès-Tours(2014-2015),StadeRennais(2015-2017)",,Right,STR(Striker),Ligue1,1.2M€annual,01-07-2018,30-06-2027,Monaco,,,80,51,transfer,,175,,Ligue1,Nice,,France,72,19.4,"10,36,7,11,15,12,20",76,Tours,,France,65,71,,37,,69,,,,Ligue_1,,19.4M€,,Adidas,,79,EuropaOccidental,22,Europe
B. Brahimi,,14March2000,,7M€,4M€,,"Cergy-PontoiseFC(2008-2015),ASSaint-Ouen-l'Aumône(2015-2016),LeixõesSC(2016-2017)",,Two-Footed,STR(Striker),Ligue1,73.8k€annual,28-01-2022,30-06-2026,StadedeReims,,,,,transfer,,183,,Ligue1,Nice,,France,61,6.2,"11,47,7,15,19,3",,Whiteparish,,Algeria,,,,14,,,,,,Ligue_1,,6.2M€,,,,70,EuropaOccidental,22,Europe
A. Mendy,MERCATOCONSEIL,27May2004,,4M€,,,,,Right,STR(Striker),Ligue1,,,30-06-2025,NiceII,,,,,transfer,,186,,National3,Nice,,France,48,0.2,"2,34",,Marseille,,France,,,,33,,,,,,Ligue_1,,,,,,71,EuropaOccidental,18,Europe
B. Bouanani,Classico,08December2004,,,,,"USRonchin(2010-2011),LOSCLille(2011-2021)",,Left,STR(Striker),Ligue1,,,30-06-2024,NiceII,,,,,transfer,,172,,National3,Nice,,France,45,,"10,15,19",,Lille,,France,,,,35,,,,,,Ligue_1,,,,Adidas,,68,EuropaOccidental,18,Europe
Alban Lafont,SportCover,23January1999,,10M€,16M€,,"EFOuagadougou(2005-2008),ASLattoise(2008-2014),ToulouseFC(2014-2015)",69,Right,GOA(Goalkeeper),Ligue1,837.5k€annual,01-07-2019,30-06-2024,Fiorentina,,76,,,transfer,,193,,SerieA,Nantes,,France,78,18.2,"40,21,16,12,18",,Ouagadougou,,France,,,74,1,,,80,,82,Ligue_1,,18.2M€,73,,,82,EuropaOccidental,24,Europe
D. Petrić,H2CSportConsulting,24May1988,,,,,AJAuxerre(2004-2007),61,Right,GOA(Goalkeeper),National2,330.5k€annual,01-08-2019,30-06-2023,Nantes,,63,,,transfer,,186,,Ligue1,NantesII,,Slovenia,34,0.1,"1,40,18",,Ljubljana,,Slovenia,,,71,30,,,69,,72,Ligue_1,,,57,,24-02-2022,70,EuropadelSur,34,Europe
R. Descamps,TTMA,25June1996,,1M€,800k€,,,61,Left,GOA(Goalkeeper),Ligue1,201k€annual,01-07-2021,30-06-2024,NantesII,,65,,,transfer,,194,,National2,Nantes,,France,50,0.8,"40,16",,Marcq-en-Barœul,,France,,,67,1,,,73,,69,Ligue_1,,763k€,32,,,65,EuropaOccidental,26,Europe
A. Girotto,Kuniy&W.SportsMarketingLt,17February1992,,4M€,4M€,,,,Right,DF(Defender),Ligue1,1.1M€annual,12-08-2017,30-06-2024,KyotoSanga,,,66,58,transfer,,186,,J1League,Nantes,,Brazil,77,5.8,"8,20,28,4,93",58,BentoGonçalves,,Brazil,70,65,,3,,63,,,,Ligue_1,,5.8M€,,,01-01-2020,80,Sudamérica,30,AmericadelSur
N. Pallois,,19September1987,,,,,,,Left,DF(Defender),Ligue1,,,,NantesII,,,53,48,,,190,,National2,Nantes,,France,76,1.1,"5,24,3,21,9",44,Elbeuf,,France,71,57,,4,,54,,,,Ligue_1,,,,,,81,EuropaOccidental,35,Europe
Jean-Charles Castelletto,BTFM,26January1995,,15M€,4M€,,"BrétignyFoot(2002-2010),AJAuxerre(2010-2013)",,Right,DF(Defender),Ligue1,769.6k€annual,01-07-2020,30-06-2026,StadeBrestois,,,66,55,transfer,,186,,Ligue1,Nantes,,France,75,10.1,"5,15,4,26,29,2,33,20,12",74,Clamart,,Cameroon,75,52,,21,,36,,,,Ligue_1,,10.1M€,,,10-03-2022,78,EuropaOccidental,28,Europe
João Victor,D2PSports,17July1998,,,8M€,,,,Right,DF(Defender),Ligue1,434.2k€annual,01-01-2019,30-06-2027,Benfica,,,,,transfer,,187,,PrimeiraLiga,Nantes,,Brazil,72,7.5,"38,3,32",,Bauru,,Brazil,,,,33,,,,,,Ligue_1,,7.5M€,,,,78,Sudamérica,24,AmericadelSur
Q. Merlin,,16May2002,,,,,"FCGoélandsSanmaritains(2008-2012),FCNantes(2012-2013),PornicFoot(2013-2015),FCNantes(201",,Left,DF(Defender),Ligue1,,,,NantesII,,,,,,1,173,20years,National2,Nantes,20years,France,70,8.7,"11,33,16,21",,Nantes,3,France,,,,29,1,,,02/06/2022,,Ligue_1,09/06/2022,,,,,81,EuropaOccidental,20,Europe
F. Centonze,CAAStellar,16January1996,,3M€,5M€,,ThononÉvianFC,,Right,DF(Defender),Ligue1,682.3k€annual,01-07-2019,30-06-2027,Metz,,,74,59,transfer,,182,,Ligue2,Nantes,,France,71,4.6,"7,6,28,13,3",80,Voiron,,France,76,69,,18,,55,,,,Ligue_1,,4.5M€,,Puma,,77,EuropaOccidental,27,Europe
S. Corchia,SVFFOOT,01November1990,,1M€,1.2M€,,"Rosny-Sous-BoisST.O.(1997-1998),VillemombleSports(1998-2003),ASBondy(2003-2004),ParisSaint",,Right,DF(Defender),Ligue1,847.6k€annual,07-10-2020,30-06-2023,Espanyol,,,73,61,transfer,,174,,LaLiga,Nantes,,France,65,2,"24,28,7,18,3,33",73,Noisy-le-Sec,,France,67,73,,2,,72,,,,Ligue_1,,2M€,,Nike,,80,EuropaOccidental,32,Europe
C. Traore,Creative&ManagementGroup,01January1992,,1M€,800k€,,"CSLAulnay(2009-2013),FCAzzurri(2013-2015)",,Left,DF(Defender),Ligue1,558.5k€annual,31-08-2018,30-06-2023,NantesII,,,67,53,transfer,,180,,National2,Nantes,,France,61,0.9,"3,23,93,5,28,4",71,Aulnay-sous-Bois,,Mali,74,53,,14,,38,,,,Ligue_1,,919k€,,,11-02-2020,71,EuropaOccidental,31,Europe
J. Hadjam,,26March2003,,3M€,800k€,,"SFCChampagne95(2009-2011),AlfortvilleUS(2011-2014),ParisSaint-GermainFC(2014-2015),USCré",,Left,DF(Defender),Ligue1,39k€annual,,30-06-2027,ParisII,,,,,transfer,,184,,National3,Nantes,,France,53,1,"26,5,2",,Paris,,France,,,,3,,,,,,Ligue_1,,958k€,,,,72,EuropaOccidental,19,Europe
Nathan Zeze,,18June2005,,,,,,,Left,DF(Defender),Ligue1,,,,NantesII,,,,,transfer,,0,,National2,Nantes,,,47,,"4,15,5,14",,Nantes,,France,,,,44,,,,,,Ligue_1,,,,,,67,,17,
R. Voisine,OneTeamFootball,07April2002,,5M€,,,"OrvaultRC(2008-2012),FCNantes(2012-2020)",,Left,DF(Defender),National2,33.3k€annual,,30-06-2025,Nantes,,,,,transfer,,192,,Ligue1,NantesII,,France,41,0.1,"12,32",,Nantes,,France,,,,23,,,,,,Ligue_1,,,,,,51,EuropaOccidental,20,Europe
M. Diaz,MYGInvest,23July2003,,1M€,,,FCNantes(2012-2022),,Right,DF(Defender),Ligue1,,,,NantesII,,,,,transfer,,163,,National2,Nantes,,IvoryCoast,40,0.1,"2,12,16",,,,France,,,,63,,,,,,Ligue_1,,,,,,58,AfricaOccidental,19,Africa
L. Blas,CAABaseLtd,31December1997,,15M€,15M€,,"DomontFC(2003-2005),RambouilletFC(2005-2009),MontrougeFC(2009-2013),EAGuingamp(2013-2015)",,Left,MID(Midfielder),Ligue1,1M€annual,02-09-2019,30-06-2024,Guingamp,,,80,57,transfer,,180,,Ligue2,Nantes,,France,78,19,"7,21,12,17,31",75,Colombes,,France,70,74,,10,,69,,,,Ligue_1,,19M€,,,,81,EuropaOccidental,25,Europe
M. Sissoko,,16August1989,,3M€,3.5M€,,"EspéranceAulnaysienne(1998-1999),RedStarFC(1999-2001),EspéranceAulnaysienne(2001-2003),Tou",,Right,MID(Midfielder),Ligue1,2.6M€annual,31-08-2016,30-06-2024,Watford,,,71,59,transfer,,187,,Championship,Nantes,,France,74,3.8,"22,7,18,19,6,11",71,LeBlanc-Mesnil,,France,77,73,,17,,68,,,,Ligue_1,,3.8M€,,Adidas,,79,EuropaOccidental,33,Europe
P. Chirivella,Promoesport,23May1997,,8M€,6M€,,,,Right,MID(Midfielder),Ligue1,533.5k€annual,01-07-2020,30-06-2026,LiverpoolSub23,,,70,54,transfer,,178,,PremierLeague2DivisionOne,Nantes,,Spain,73,8.3,"68,6,29,17,8,16,12,4",66,Valencia,,Spain,68,68,,5,,53,,,,Ligue_1,,8.3M€,,Puma,28-04-2022,77,EuropadelSur,25,Europe
S. Moutoussamy,Wasserman,12August1996,,4M€,3.5M€,,"MeudonAS(2003-2010),Boulogne-Billancourt(2010-2011),MontrougeFC92(2011),OlympiqueLyonnais",,Left,MID(Midfielder),Ligue1,396.3k€annual,06-09-2017,30-06-2024,FortunaSittard,,,74,58,transfer,,174,,Eredivisie,Nantes,,France,67,5,"8,27,3,14,17",71,Paris,,TheDemocraticRepublicOfCongo,59,65,,18,,56,,,,Ligue_1,,5M€,,,16-07-2019,72,EuropaOccidental,26,Europe
F. Mollet,LBSPORT&MANAGEMENT,19November1991,,2M€,2.5M€,,DijonFCO,,Right,MID(Midfielder),Ligue1,1.4M€annual,11-07-2018,30-06-2025,Schalke04,,,79,51,transfer,,174,,Bundesliga,Nantes,,France,67,3.3,"28,19,10,20,6,33,11",75,Fontaine-lès-Dijon,,France,69,78,,25,,79,,,,Ligue_1,,3.3M€,,,,76,EuropaOccidental,31,Europe
L. Doucet,ConceptSportAgency,14September2002,,1M€,800k€,,"ÉlandesSorinières,LandreauLorouxOSC,FCNantes(2015-2021)",,Right,MID(Midfielder),Ligue1,,,30-06-2025,Romorantin,,,,,transfer,,180,,National2,Nantes,,France,40,0.9,"8,18,33,31",,Nantes,,France,,,,20,,,,,,Ligue_1,,894k€,,,08-12-2021,53,EuropaOccidental,20,Europe
G. Manvelyan,,09April2002,,,,,"USSainte-CroixSaint-Lô(2008-2009),FCSaint-LôManche(2009-2014),USGranville(2014-2015),FCN",,Two-Footed,MID(Midfielder),National2,,,,Nantes,,,,,,,180,,Ligue1,NantesII,,France,39,0.4,"10,33,14,15",,Stepanakert,,France,,,,22,,,,,,Ligue_1,,,,,,51,EuropaOccidental,20,Europe
S. Yépié,,02October2002,,,,,"RCGonesse(2008-2012),Garges-les-GonesseFCM(2012-2015),Jeanned'ArcdeDrancy(2015-2017),FCN",,Left,MID(Midfielder),National2,,,,Nantes,,,,,,,171,,Ligue1,NantesII,,France,36,0.1,"7,12",,Gonesse,,France,,,,18,,,,,,Ligue_1,,,,,,48,EuropaOccidental,20,Europe
M. Simon,DWSportsManagement,12July1995,,10M€,9M€,,GBSAcademy(2003-2013),,Left,STR(Striker),Ligue1,1.4M€annual,01-07-2020,30-06-2024,Levante,,,84,43,transfer,,168,,SecondDivision,Nantes,,Nigeria,78,14.6,"15,20,7,11,14,33",92,Jos,,Nigeria,78,63,,27,,63,,,,Ligue_1,,14.6M€,,Nike,,81,AfricaOccidental,27,Africa
A. Delort,scoreagencies,09October1991,,7M€,12M€,,"FCSète(1997-1999),Pointe-CourtedeSèteAC(1999-2000),FCSète(2000-2002),Pointe-CourtedeSèt",,Right,STR(Striker),Ligue1,1.9M€annual,01-07-2019,30-06-2024,Nice,,,76,39,transfer,,182,,Ligue1,Nantes,,France,77,10.4,"7,11,10,15,24,99,39,49",84,Sète,,Algeria,79,70,,9,,77,,,,Ligue_1,,10.4M€,,,,84,EuropaOccidental,31,Europe
Mostafa,,28November1997,,10M€,6M€,,ZamalekSC(2008-2016),,Right,STR(Striker),Ligue1,554.3k€annual,01-07-2019,30-06-2025,GalatasaraySK,,,,,transfer,,185,,TurkishSüperLig,Nantes,,Egypt,75,11.3,"31,15,98,14,35,9,30,38",,Giza,,Egypt,,,,11,,,,,,Ligue_1,,11.3M€,,,,79,ÁfricadelNorte,25,Africa
I. Ganago,WildersSport,16February1999,,6M€,4M€,,ÉcoledeFootballBrasseriesduCameroun(EFCB)(2011-2017),,Right,STR(Striker),Ligue1,943.6k€annual,10-07-2020,30-06-2026,Lens,,,77,38,transfer,,176,,Ligue1,Nantes,,Cameroon,66,6.3,"9,20,37,33,11,16",82,Douala,,Cameroon,71,58,,14,,61,,,,Ligue_1,,6.3M€,,Puma,,73,AfricaCentral,23,Africa
E. Guessand,OneTeamManagement,01July2001,,10M€,5M€,,"ASPTTMarseille(2008-2014),OGCNice(2014-2019)",,Right,STR(Striker),Ligue1,188.8k€annual,01-07-2020,30-06-2026,Nice,,,,,transfer,,185,,Ligue1,Nantes,,France,64,8.2,"9,24,11,14,35,33",,Ajaccio,,France,,,,7,,,,,,Ligue_1,,8.2M€,,,,75,EuropaOccidental,21,Europe
M. Coco,,24June1996,,1M€,1.5M€,,"IntrépidedeSainte-Anne(2003-2005),SSBaie-Mahault(2005-2012),JADrancy(2012),ASJeunessed'A",,Right,STR(Striker),Ligue1,631.8k€annual,16-07-2019,30-06-2023,Guingamp,,,80,48,transfer,,184,,Ligue2,Nantes,,France,57,2.5,"24,7,8,34,15,12",86,LesAbymes,,France,66,67,,11,,60,,,,Ligue_1,,2.5M€,,,,69,EuropaOccidental,26,Europe
G. Gallon,Kemari,23April1993,,2M€,2M€,,,68,Right,GOA(Goalkeeper),Ligue1,239.2k€annual,01-07-2019,30-06-2024,Orléans,,69,,,transfer,,186,,National,Troyes,,France,69,2.5,"16,1",,Nice,,France,,,71,30,,,72,,72,Ligue_1,,2.5M€,59,,26-06-2021,74,EuropaOccidental,29,Europe
M. Lis,FabrykaFutbolu,27February1997,,3M€,1M€,,"PromieńŻary,UKPZielonaGóra,LechPoznań",51,Right,GOA(Goalkeeper),Ligue1,74.4k€annual,05-08-2021,30-06-2027,SouthamptonSub21,,55,,,transfer,,192,,PremierLeague2DivisionTwo,Troyes,,Poland,62,1.2,"36,33,3,30,12",,Żary,,Poland,,,52,1,,,56,,53,Ligue_1,,1.2M€,33,,,69,EuropadelEste,25,Europe
J. Moulin,,13January1986,,,,,,65,Right,GOA(Goalkeeper),Ligue1,,,,Saint-Étienne,,70,,,,,183,,Ligue2,Troyes,,France,58,0.1,"1,40,18",,Valence,,France,,,72,30,,,72,,73,Ligue_1,,,42,,,71,EuropaOccidental,37,Europe
Y. Salmier,W.EgalO.S.F.M.,21November1992,,2M€,2M€,,Saint-BriceFC,,Right,DF(Defender),Ligue1,287.1k€annual,01-07-2019,30-06-2024,StrasbourgII,,,52,47,transfer,,188,,National3,Troyes,,France,71,3.2,"17,4",47,Villiers-le-Bel,,FrenchGuiana,68,39,,21,,31,,,,Ligue_1,,3.2M€,,,30-06-2021,75,EuropaOccidental,30,Europe
Jackson Porozo,TeamofFuture,04August2000,,10M€,3M€,,,,Right,DF(Defender),Ligue1,133.1k€annual,01-10-2020,30-06-2027,Boavista,,,,,transfer,,191,,PrimeiraLiga,Troyes,,Ecuador,70,4.8,"21,4,25,6",,SanLorenzo,,Ecuador,,,,2,,,,,,Ligue_1,,4.8M€,,,,78,Sudamérica,22,AmericadelSur
A. Rami,,27December1985,,,,,ESFréjusienne(1994-2003),,Right,DF(Defender),Ligue1,,,,TroyesII,,,52,48,,3,190,32years,National3,Troyes,24years,France,65,0.1,"4,3,13,17,5,34,21",46,Bastia,63,France,68,50,,23,33,50,,11/08/2010,,Ligue_1,20/11/2018,,,,,86,EuropaOccidental,37,Europe
Abdu Conté,,24March1998,,,,,"SFDamaiense(2008-2011),SportingCP(2011-2017)",,Left,DF(Defender),Ligue1,,,,Moreirense,,,68,52,,,183,23years,SegundaLiga,Troyes,21years,Guinea-Bissau,68,4.4,"75,12,2,4,17",76,Bissau,4,Portugal,71,54,,5,2,49,,14/11/2019,,Ligue_1,06/06/2021,,,,,74,AfricaOccidental,24,Africa
A. Bruus,BecksterInt.,16January1999,,3M€,2M€,,"GreveIF,BröndbyIF(U13-)",,Right,DF(Defender),Ligue1,143k€annual,01-01-2018,30-06-2027,BrøndbyIF,,,69,51,transfer,,184,,DanishSuperliga,Troyes,,Denmark,66,4.1,"19,10,11,13,15",83,GreveStrand,,Denmark,65,62,,17,,53,,,,Ligue_1,,4.1M€,,,,72,PaísesNórdicos,24,Europe
T. Balde,SRM,10June2002,,5M€,4M€,,"AJLimeilBrevannes(2008-2010),USSénart-Moissy(2010-2015),ParisSaint-Germain(2015-2021)",,Right,DF(Defender),Ligue1,33.3k€annual,,30-06-2027,PSG,,,,,transfer,,182,,Ligue1,Troyes,,France,64,5.3,"18,36",,Villeneuve-Saint-Georges,,France,,,,4,,,,,,Ligue_1,,5.3M€,,,,77,EuropaOccidental,20,Europe
Yasser Larouci,TimPole,01January2001,,3M€,3M€,,"ASMadrilletChâteauBlanc(2007-2011),LeHavreAC(2011-2017),LiverpoolFC(2017-2019)",,Right,DF(Defender),Ligue1,33.3k€annual,28-07-2021,30-06-2026,TroyesII,,,,,transfer,,175,,National3,Troyes,,Algeria,58,3.2,"70,39,22,15,16,10,18,12,17",,ElOued,,France,,,,3,,,,,,Ligue_1,,3.2M€,,,,68,ÁfricadelNorte,22,Africa
Tanguy Zoukrou,TTMA,07May2003,,1M€,,,"FOPlaisir(2010-2017),ACBoulogne-Billancourt(2017-2020),ESTACTroyes(2020-2021)",,Right,DF(Defender),Ligue1,33.3k€annual,,30-06-2024,TroyesII,,,,,transfer,,189,,National3,Troyes,,France,41,0.2,"12,22,35,4",,LeChesnay,,France,,,,2,,,,,,Ligue_1,,,,,,59,EuropaOccidental,19,Europe
M. Hamdi,,18October2003,,,,,,,Left,DF(Defender),Ligue1,,,,TroyesII,,,,,transfer,,180,,National3,Troyes,,,40,0.1,"11,5,19",,,,France,,,,32,,,,,,Ligue_1,,,,,,58,,19,
E. N'jo,,01June2004,,,,,ESTACTroyes(2017-2022),,Right,DF(Defender),FrenchLeagueU19,,,,Troyes,,,,,,,187,,Ligue1,TroyesSub19,,France,40,0.1,"13,5,17",,Sens,,France,,,,37,,,,,,Ligue_1,,,,,,61,EuropaOccidental,18,Europe
E. Palmer-Brown,PROSPORTManagement,24April1997,,3M€,3M€,,,,Right,DF(Defender),Ligue1,1.2M€annual,02-02-2022,30-06-2024,AustriaWien,,,56,47,transfer,,190,,AustrianBundesliga,Troyes,,UnitedStates,69,4.3,"4,23,14,12,5,18,44,43,3,22",64,Napoleon,,UnitedStates,69,48,,2,,38,,,,Ligue_1,,4.3M€,,,,74,NorthAmerica,25,AmericadelNorte
X. Chavalerin,Miembrodesufamilia,07March1991,,2M€,1.8M€,,,,Left,MID(Midfielder),Ligue1,955k€annual,29-08-2021,30-06-2024,StadedeReims,,,69,59,transfer,,174,,Ligue1,Troyes,,France,72,4.1,"23,24,13,17",63,Villeurbanne,,France,72,73,,7,,68,,,,Ligue_1,,4.1M€,,,,79,EuropaOccidental,31,Europe
F. Tardieu,,22April1992,,,,,,,Right,MID(Midfielder),Ligue1,,,,Zulte-Waregem,,,65,56,,,184,,BelgianProLeague,Troyes,,France,71,3.4,"10,6,33",59,Istres,,France,73,66,,22,,58,,,,Ligue_1,,,,,,75,EuropaOccidental,30,Europe
R. Kouamé,GTSManagement,17December1996,,4M€,5M€,,"JMGAcademyBamako,ASRealBamako,LOSCLille(2016–2017)",,Left,MID(Midfielder),Ligue1,231.4k€annual,,30-06-2024,CercleBrugge,,,,,transfer,,177,,BelgianProLeague,Troyes,,IvoryCoast,71,6.5,"17,7,27,19,29,14,18,23",,Lopou,,Mali,,,,6,,,,,,Ligue_1,,6.5M€,,Puma,,75,AfricaOccidental,26,Africa
A. Palaversa,,06April2000,,,,,HajdukSplit,,Right,MID(Midfielder),Ligue1,,,,Kortrijk,,,65,56,,,187,21years,BelgianProLeague,Troyes,20years,Croatia,64,4.5,"8,14,4,6",63,Split,7,Croatia,66,65,,15,7,64,,26/03/2021,,Ligue_1,29/03/2022,,,,,73,EuropadelSur,22,Europe
L. Agoume,NDSPORTSMANAGEMENT,09February2002,,3M€,7M€,,"SCClémenceauBesançon(2013),RacingBesançon(2013-2014),FCSochaux-Montbéliard(2014-2018)",,Right,MID(Midfielder),Ligue1,328.4k€annual,31-08-2021,30-06-2025,Inter,,,66,50,transfer,,189,,SerieA,Troyes,,Cameroon,60,7.4,"10,32,8,33,5,14,42,18",62,Yaoundé,,France,62,58,,6,,50,,,,Ligue_1,,7.4M€,,,,74,AfricaCentral,20,Africa
T. Dingomé,,17February1991,,,,,,,Left,MID(Midfielder),Ligue1,,,,StadedeReimsII,,,71,56,,,174,,National2,Troyes,,France,58,1.2,"20,5,29,10,12,7",65,LesUlis,,Cameroon,71,71,,19,,65,,,,Ligue_1,,,,,,71,EuropaOccidental,31,Europe
Jeff Reine-Adelaide,ConceptSportAgency,17January1998,,,10M€,,"ChampignyFC94(2004-2006),USTorcy(2006-2010),RCLens(2010-2015),ArsenalFC(2015-2018)",,Right,MID(Midfielder),Ligue1,2M€annual,14-08-2019,30-06-2024,OlympiqueLyonnais,,,79,53,transfer,,184,,Ligue1,Troyes,,France,56,6.9,"17,31,54,10,29,11,8,7,9,12,14,20,18",76,Champigny-sur-Marne,,France,74,71,,22,,65,,,,Ligue_1,,6.9M€,,,,73,EuropaOccidental,25,Europe
D. Mazou-Sacko,Miembrodesufamilia,06October2004,,,,,"AASSarcelles(2011-2013,2014-2017),Saint-BriceFC(2013-2014),ESTACTroyes(2017-2021)",,Right,MID(Midfielder),Ligue1,,,,TroyesII,,,,,transfer,,0.2,,National3,Troyes,,France,43,,"28,8,36",,Sarcelles,,France,,,,6,,,,,,Ligue_1,,,,,,63,EuropaOccidental,18,Europe
D. Dongmo,Soccermax,31January2001,,,,,EcoledeFootballBrasseriesduCameroun(2014-2018),,Left,MID(Midfielder),Ligue1,,,30-06-2024,TroyesII,,,,,transfer,,0.1,,National3,Troyes,,Cameroon,39,,"14,6,8,13",,Douala,,Cameroon,,,,31,,,,,,Ligue_1,,,,,16-06-2022,49,AfricaCentral,22,Africa
R. Ripart,ECASTAGNINO,14March1993,,2M€,3M€,,,,Right,STR(Striker),Ligue1,930.6k€annual,15-07-2021,30-06-2025,TroyesII,,,71,55,transfer,,181,,National3,Troyes,,France,70,4.3,"9,31,7,29",72,Nîmes,,France,76,67,,20,,69,,,,Ligue_1,,4.3M€,,,,76,EuropaOccidental,29,Europe
Mama Baldé,Miembrodesufamilia,06November1995,,4M€,6M€,,"RDAlgueirão(2005-2007),SUSintrense(2008)",,Right,STR(Striker),Ligue1,527.8k€annual,31-07-2021,30-06-2025,TroyesII,,,78,51,transfer,,176,,National3,Troyes,,Guinea-Bissau,69,6.1,"50,7,25",90,Bissau,,Guinea-Bissau,77,69,,17,,65,,,,Ligue_1,,6.1M€,,Adidas,,74,AfricaOccidental,27,Africa
Rony Lopes,BecksterInt.,28December1995,,3M€,4M€,,ADPoiares(2003-2006),,Left,STR(Striker),Ligue1,1.7M€annual,14-08-2019,30-06-2024,OlympiacosPiraeus,,,81,41,transfer,,175,,GreekSuperLeague,Troyes,,Brazil,68,8.4,"10,17,20,11,64,22,32,25",78,Belém,,Portugal,67,75,,7,,71,,,,Ligue_1,,8.4M€,,Adidas,,80,Sudamérica,27,AmericadelSur
Iké Ugbo,FirstAccessSports,21September1998,,5M€,4M€,,ChelseaFC(2007-2016),,Right,STR(Striker),Ligue1,458.9k€annual,24-08-2021,30-06-2026,Genk,,,69,35,transfer,,185,,BelgianProLeague,Troyes,,England,65,5.5,"19,12,21,27,43,13,64,18,11,17,14",77,London,,Canada,71,45,,9,,51,,,,Ligue_1,,5.5M€,,,,75,IslasBritánicas,24,Europe
Wilson Odobert,,28November2004,,6M€,5M€,,"USFTrilport(2010-2017),ParisSaint-Germain(2017-2022)",,Right,STR(Striker),Ligue1,,15-07-2022,30-06-2027,PSGSub19,,,,,transfer,,181,,FrenchLeagueU19,Troyes,,France,58,5.9,"17,11",,Meaux,,France,,,,29,,,,,,Ligue_1,,5.9M€,,Adidas,24-01-2023,78,EuropaOccidental,18,Europe
M. Moreno,Wasserman,20September1996,,20M€,800k€,,,,Right,STR(Striker),Ligue1,1.4M€annual,27-09-2020,30-06-2024,TroyesII,,,75,37,transfer,,171,,National3,Troyes,,Colombia,57,1.3,"17,11,21,9,7,15,18,14",84,Medellín,,Colombia,66,60,,29,,53,,,,Ligue_1,,1.3M€,,Nike,,66,Sudamérica,26,AmericadelSur
Alexis Tibidi,PowerSoccerManagement,03November2003,,,1.5M€,,"EntenteSportiveAiglonsBrive(1/2010-2018),FCToulouse(2018-2021),VfBStuttgart(2021-12/2021)",,Right,STR(Striker),Ligue1,,28-01-2023,30-06-2027,SCRAltach,,,,,transfer,,187,,AustrianBundesliga,Troyes,,France,55,1.8,"25,50,23",,Lille,,France,,,,29,,,,,,Ligue_1,,1.8M€,,,,74,EuropaOccidental,19,Europe
P. Yade,,05January2000,,,,,"ASCLaLinguère,GénérationFoot",,Left,STR(Striker),Ligue1,,,,Metz,,,72,32,,,185,,Ligue2,Troyes,,Senegal,54,1.5,"11,10,9,14,15",79,Saint-Louis,,Senegal,59,57,,26,,62,,,,Ligue_1,,,,,,62,AfricaOccidental,23,Africa
L. Lumeka,,05September1998,,,,,"ChelseaFC,CrystalPalace",,Left,STR(Striker),Ligue1,,,,Vilafranquense,,,72,34,,,171,,SegundaLiga,Troyes,,England,47,0.2,"44,11,32,21,7,23",76,Beckton,,England,53,56,,12,,54,,,,Ligue_1,,,,,,57,IslasBritánicas,24,Europe
Matz Sels,,26February1992,,6M€,8M€,,"KontichFC(1997-1999),LierseSK(1999-2010)",75,Right,GOA(Goalkeeper),Ligue1,1.2M€annual,26-07-2018,30-06-2026,Anderlecht,,75,,,transfer,,188,,BelgianProLeague,Strasbourg,,Belgium,75,6.9,"22,13,28,12",,Lint,,Belgium,,,78,1,,,79,,78,Ligue_1,,6.9M€,70,,23-06-2022,79,EuropaOccidental,30,Europe
